1,5,3,1.6,0.2,Iris-setosa
2,6.2,2.8,4.8,1.8,Iris-virginica
3,5.2,3.5,1.5,0.2,Iris-setosa
4,5.7,2.8,4.1,1.3,Iris-versicolor
5,5.8,2.7,5.1,1.9,Iris-virginica
6,6.5,3,5.8,2.2,Iris-virginica
7,4.8,3.4,1.6,0.2,Iris-setosa
8,7.7,3.8,6.7,2.2,Iris-virginica
9,6.8,3,5.5,2.1,Iris-virginica
10,6.8,2.8,4.8,1.4,Iris-versicolor
11,6.7,3.1,4.4,1.4,Iris-versicolor
12,4.8,3,1.4,0.1,Iris-setosa
13,6.9,3.2,5.7,2.3,Iris-virginica
14,5.1,3.5,1.4,0.3,Iris-setosa
15,5,3.4,1.5,0.2,Iris-setosa
16,7.2,3.6,6.1,2.5,Iris-virginica
17,5.7,3,4.2,1.2,Iris-versicolor
18,5.4,3,4.5,1.5,Iris-versicolor
19,5.1,3.8,1.5,0.3,Iris-setosa
20,5.7,2.5,5,2,Iris-virginica
21,5.9,3,4.2,1.5,Iris-versicolor
22,4.9,3.1,1.5,0.1,Iris-setosa
23,5.6,3,4.1,1.3,Iris-versicolor
24,5.5,2.4,3.8,1.1,Iris-versicolor
25,7.4,2.8,6.1,1.9,Iris-virginica
26,5.8,2.6,4,1.2,Iris-versicolor
27,6.5,3.2,5.1,2,Iris-virginica
28,6.1,2.6,5.6,1.4,Iris-virginica
29,4.3,3,1.1,0.1,Iris-setosa
30,5.8,2.8,5.1,2.4,Iris-virginica
31,5.6,2.9,3.6,1.3,Iris-versicolor
32,4.7,3.2,1.3,0.2,Iris-setosa
33,5.2,3.4,1.4,0.2,Iris-setosa
34,6.3,2.7,4.9,1.8,Iris-virginica
35,6.4,2.7,5.3,1.9,Iris-virginica
36,7.6,3,6.6,2.1,Iris-virginica
37,5.7,2.9,4.2,1.3,Iris-versicolor
38,6.5,3,5.5,1.8,Iris-virginica
39,5.5,2.6,4.4,1.2,Iris-versicolor
40,6.7,3,5,1.7,Iris-versicolor
41,5.9,3.2,4.8,1.8,Iris-versicolor
42,4.4,3,1.3,0.2,Iris-setosa
43,4.8,3.4,1.9,0.2,Iris-setosa
44,7.7,3,6.1,2.3,Iris-virginica
45,4.7,3.2,1.6,0.2,Iris-setosa
46,4.6,3.4,1.4,0.3,Iris-setosa
47,5.4,3.4,1.7,0.2,Iris-setosa
48,5.5,2.5,4,1.3,Iris-versicolor
49,6,3,4.8,1.8,Iris-virginica
50,6.4,3.2,5.3,2.3,Iris-virginica
51,6.3,2.5,4.9,1.5,Iris-versicolor
52,6,2.7,5.1,1.6,Iris-versicolor
53,6.1,3,4.9,1.8,Iris-virginica
54,4.9,2.5,4.5,1.7,Iris-virginica
55,5,3.2,1.2,0.2,Iris-setosa
56,5.7,4.4,1.5,0.4,Iris-setosa
57,5.9,3,5.1,1.8,Iris-virginica
58,5,3.4,1.6,0.4,Iris-setosa
59,4.4,2.9,1.4,0.2,Iris-setosa
60,4.9,3,1.4,0.2,Iris-setosa
61,6.4,3.1,5.5,1.8,Iris-virginica
62,6.1,2.8,4.7,1.2,Iris-versicolor
63,7.3,2.9,6.3,1.8,Iris-virginica
64,6.3,2.8,5.1,1.5,Iris-virginica
65,6,2.2,4,1,Iris-versicolor
66,6.2,2.2,4.5,1.5,Iris-versicolor
67,5.2,4.1,1.5,0.1,Iris-setosa
68,6.7,3.1,4.7,1.5,Iris-versicolor
69,7.2,3,5.8,1.6,Iris-virginica
70,7.9,3.8,6.4,2,Iris-virginica
71,6.3,2.9,5.6,1.8,Iris-virginica
72,5.4,3.4,1.5,0.4,Iris-setosa
73,5.7,2.6,3.5,1,Iris-versicolor
74,6,3.4,4.5,1.6,Iris-versicolor
75,6.4,2.8,5.6,2.2,Iris-virginica
76,6.4,2.9,4.3,1.3,Iris-versicolor
77,5,3.6,1.4,0.2,Iris-setosa
78,5,2.3,3.3,1,Iris-versicolor
79,5.6,2.8,4.9,2,Iris-virginica
80,5,2,3.5,1,Iris-versicolor
81,5.6,3,4.5,1.5,Iris-versicolor
82,4.9,3.1,1.5,0.1,Iris-setosa
83,6.7,2.5,5.8,1.8,Iris-virginica
84,6.3,3.4,5.6,2.4,Iris-virginica
85,5.5,3.5,1.3,0.2,Iris-setosa
86,5.1,3.5,1.4,0.2,Iris-setosa
87,6.1,2.9,4.7,1.4,Iris-versicolor
88,6.2,2.9,4.3,1.3,Iris-versicolor
89,5.6,2.5,3.9,1.1,Iris-versicolor
90,5.1,3.7,1.5,0.4,Iris-setosa
91,5.7,3.8,1.7,0.3,Iris-setosa
92,5.4,3.9,1.7,0.4,Iris-setosa
93,6.3,3.3,6,2.5,Iris-virginica
94,7.7,2.6,6.9,2.3,Iris-virginica
95,6.6,3,4.4,1.4,Iris-versicolor
96,6.4,2.8,5.6,2.1,Iris-virginica
97,7.7,2.8,6.7,2,Iris-virginica
98,4.6,3.1,1.5,0.2,Iris-setosa
99,4.6,3.6,1,0.2,Iris-setosa
100,5.4,3.7,1.5,0.2,Iris-setosa
101,6.1,3,4.6,1.4,Iris-versicolor
102,5.5,2.4,3.7,1,Iris-versicolor
103,5.8,2.7,4.1,1,Iris-versicolor
104,5.8,4,1.2,0.2,Iris-setosa
105,5.1,3.3,1.7,0.5,Iris-setosa
106,4.9,3.1,1.5,0.1,Iris-setosa
107,5.1,2.5,3,1.1,Iris-versicolor
108,5.1,3.4,1.5,0.2,Iris-setosa
109,5.6,2.7,4.2,1.3,Iris-versicolor
110,6.7,3.3,5.7,2.1,Iris-virginica
111,6.3,2.3,4.4,1.3,Iris-versicolor
112,5.5,4.2,1.4,0.2,Iris-setosa
113,7.1,3,5.9,2.1,Iris-virginica
114,6.1,2.8,4,1.3,Iris-versicolor
115,6,2.9,4.5,1.5,Iris-versicolor
116,4.8,3.1,1.6,0.2,Iris-setosa
117,5.8,2.7,3.9,1.2,Iris-versicolor
118,6,2.2,5,1.5,Iris-virginica
119,5.4,3.9,1.3,0.4,Iris-setosa
120,7.2,3.2,6,1.8,Iris-virginica
